Fuente;Código de Departamento;Mes;Hora del hecho;Diurno/Nocturno;Sexo;Edad;Edad agrupada;Clase de Víctima;Vehículo Víctima (excluir peatón);Tipo de usuario;Modo de Producción del Hecho;Fecha del hecho;Tipo de Lugar
Ministerio de Seguridad;126;Enero;14:45;Diurno;Varón;77;75 y más;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-18 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;805;Enero;18:10;Diurno;Mujer;2;0 - 4;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-01-18 00:00:00.000;Calle
Ministerio de Seguridad;427;Enero;21:00;Nocturno;Varón;55;55 - 64;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-18 00:00:00.000;Calle
Ministerio de Seguridad;427;Enero;18:25;Diurno;Varón;37;35 - 44;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-01-18 00:00:00.000;Calle
Ministerio de Seguridad;427;Enero;15:00;Diurno;Varón;48;45 - 54;Conductor;Bicicleta;Bicicleta;Sin determinar;2018-01-19 00:00:00.000;Calle
Ministerio de Seguridad;441;Enero;00:30;Nocturno;Mujer;-1;Sin determinar;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-19 00:00:00.000;Calle
Ministerio de Seguridad;763;Enero;07:40;Diurno;Varón;22;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-20 00:00:00.000;Calle
Ministerio de Seguridad;427;Enero;22:00;Nocturno;Varón;55;55 - 64;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-01-20 00:00:00.000;Calle
Ministerio de Seguridad;854;Enero;09:10;Diurno;Varón;19;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-21 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;420;Enero;20:15;Nocturno;Varón;7;5 - 14;Conductor;Otro;Otro;Colisión vehículo / vehículo;2018-01-21 00:00:00.000;Sin determinar
Ministerio de Seguridad;515;Enero;14:20;Diurno;Mujer;31;25 - 34;Acompañante;Motocicleta;Motocicleta;Vuelco / despiste;2018-01-21 00:00:00.000;Calle
Ministerio de Seguridad;427;Enero;18:45;Diurno;Varón;50;45 - 54;Sin determinar;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-21 00:00:00.000;Calle
Ministerio de Seguridad;028;Enero;02:20;Nocturno;Mujer;41;35 - 44;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-21 00:00:00.000;Calle
Ministerio de Seguridad;547;Enero;08:20;Diurno;Varón;60;55 - 64;Conductor;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-01-22 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;266;Enero;21:00;Nocturno;Varón;33;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-23 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;638;Enero;20:10;Nocturno;Varón;73;65 - 74;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-23 00:00:00.000;Calle
Ministerio de Seguridad;410;Enero;13:40;Diurno;Varón;20;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-23 00:00:00.000;Calle
Ministerio de Seguridad;441;Enero;01:30;Nocturno;Varón;38;35 - 44;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-01-25 00:00:00.000;Calle
Ministerio de Seguridad;441;Enero;10:10;Diurno;Mujer;90;75 y más;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-25 00:00:00.000;Calle
Ministerio de Seguridad;638;Enero;07:20;Diurno;Varón;26;25 - 34;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-01-27 00:00:00.000;Calle
Ministerio de Seguridad;490;Enero;17:30;Diurno;Varón;35;35 - 44;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-27 00:00:00.000;Calle
Ministerio de Seguridad;441;Enero;04:30;Nocturno;Varón;16;15 - 24;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-27 00:00:00.000;Calle
Ministerio de Seguridad;441;Enero;04:30;Nocturno;Varón;25;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-27 00:00:00.000;Calle
Ministerio de Seguridad;077;Enero;13:30;Diurno;Varón;40;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-01-28 00:00:00.000;Calle
Ministerio de Seguridad;077;Enero;13:30;Diurno;Varón;17;15 - 24;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-01-28 00:00:00.000;Calle
Ministerio de Seguridad;638;Enero;06:15;Nocturno;Varón;15;15 - 24;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-28 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;274;Enero;20:30;Nocturno;Varón;36;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-29 00:00:00.000;Calle
Ministerio de Seguridad;707;Enero;09:30;Diurno;Varón;31;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-01-01 00:00:00.000;Calle
Ministerio de Seguridad;056;Enero;03:40;Nocturno;Varón;18;15 - 24;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-01 00:00:00.000;Calle
Ministerio de Seguridad;490;Enero;01:30;Nocturno;Varón;25;25 - 34;Conductor;Camioneta;Camioneta;Vuelco / despiste;2018-01-03 00:00:00.000;Calle
Ministerio de Seguridad;728;Enero;19:30;Nocturno;Varón;68;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-07 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;728;Enero;19:30;Nocturno;Varón;59;55 - 64;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-07 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;441;Enero;09:30;Diurno;Varón;18;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-07 00:00:00.000;Calle
Ministerio de Seguridad;784;Enero;09:30;Diurno;Varón;15;15 - 24;Ocupante de vehículo sin determinar posición;Automóvil;Automóvil;Vuelco / despiste;2018-01-11 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;784;Enero;09:30;Diurno;Varón;26;25 - 34;Ocupante de vehículo sin determinar posición;Automóvil;Automóvil;Vuelco / despiste;2018-01-11 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;497;Enero;19:09;Nocturno;Varón;19;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-01-14 00:00:00.000;Calle
Ministerio de Seguridad;532;Enero;15:16;Diurno;Mujer;5;5 - 14;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-17 00:00:00.000;Calle
Ministerio de Seguridad;532;Enero;15:16;Diurno;Varón;1;0 - 4;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-17 00:00:00.000;Calle
Ministerio de Seguridad;408;Enero;17:15;Diurno;Varón;24;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-17 00:00:00.000;Calle
Ministerio de Seguridad;413;Enero;00:25;Nocturno;Mujer;71;65 - 74;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-19 00:00:00.000;Calle
Ministerio de Seguridad;056;Enero;23:20;Nocturno;Varón;73;65 - 74;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-01-19 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;224;Enero;17:15;Diurno;Mujer;-1;Sin determinar;Pasajero;Otro;Otro;Vuelco / despiste;2018-01-20 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;784;Enero;06:00;Nocturno;Varón;38;35 - 44;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-25 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;784;Enero;12:50;Diurno;Varón;27;25 - 34;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-01-29 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;568;Enero;19:10;Nocturno;Mujer;-1;Sin determinar;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-01-30 00:00:00.000;Calle
Ministerio de Seguridad;568;Enero;14:00;Diurno;Varón;28;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-01-30 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;707;Enero;22:05;Nocturno;Varón;13;5 - 14;Sin determinar;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-01-31 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;861;Febrero;22:00;Nocturno;Varón;48;45 - 54;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-02-01 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;700;Febrero;23:00;Nocturno;Varón;60;55 - 64;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-02 00:00:00.000;Calle
Ministerio de Seguridad;700;Febrero;20:00;Nocturno;Varón;56;55 - 64;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-02 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;826;Febrero;20:35;Nocturno;Varón;47;45 - 54;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-03 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;560;Febrero;04:55;Nocturno;Varón;27;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-03 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;427;Febrero;03:45;Nocturno;Varón;35;35 - 44;Conductor;Automóvil;Automóvil;Sin determinar;2018-02-03 00:00:00.000;Calle
Ministerio de Seguridad;413;Febrero;06:24;Nocturno;Mujer;21;15 - 24;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;413;Febrero;06:24;Nocturno;Mujer;25;25 - 34;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;413;Febrero;06:24;Nocturno;Varón;49;45 - 54;Acompañante;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;413;Febrero;06:24;Nocturno;Varón;54;45 - 54;Acompañante;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;413;Febrero;06:24;Nocturno;Mujer;27;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;413;Febrero;06:24;Nocturno;Mujer;58;55 - 64;Acompañante;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;560;Febrero;21:00;Nocturno;Varón;50;45 - 54;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;410;Febrero;06:20;Nocturno;Varón;56;55 - 64;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Calle
Ministerio de Seguridad;539;Febrero;02:30;Nocturno;Mujer;24;15 - 24;Acompañante;Automóvil;Automóvil;Vuelco / despiste;2018-02-04 00:00:00.000;Calle
Ministerio de Seguridad;469;Febrero;11:30;Diurno;Mujer;66;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-05 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;357;Febrero;05:30;Nocturno;Varón;32;25 - 34;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-02-05 00:00:00.000;Calle
Ministerio de Seguridad;084;Febrero;07:45;Diurno;Varón;27;25 - 34;Conductor;Camión;Camión;Colisión vehículo / vehículo;2018-02-07 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;357;Febrero;15:30;Diurno;Varón;33;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-07 00:00:00.000;Calle
Ministerio de Seguridad;364;Febrero;11:00;Diurno;Varón;28;25 - 34;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-07 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;028;Febrero;14:25;Diurno;Varón;1;0 - 4;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-07 00:00:00.000;Calle
Ministerio de Seguridad;805;Febrero;09:00;Diurno;Varón;29;25 - 34;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-08 00:00:00.000;Calle
Ministerio de Seguridad;371;Febrero;17:15;Diurno;Varón;43;35 - 44;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-02-08 00:00:00.000;Calle
Ministerio de Seguridad;412;Febrero;11:00;Diurno;Varón;20;15 - 24;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-02-08 00:00:00.000;Calle
Ministerio de Seguridad;763;Febrero;08:00;Diurno;Varón;25;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-09 00:00:00.000;Calle
Ministerio de Seguridad;427;Febrero;20:05;Nocturno;Mujer;19;15 - 24;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-09 00:00:00.000;Calle
Ministerio de Seguridad;427;Febrero;20:05;Nocturno;Varón;22;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-09 00:00:00.000;Calle
Ministerio de Seguridad;515;Febrero;06:00;Nocturno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-10 00:00:00.000;Calle
Ministerio de Seguridad;568;Febrero;02:00;Nocturno;Mujer;23;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-10 00:00:00.000;Calle
Ministerio de Seguridad;568;Febrero;01:30;Nocturno;Mujer;18;15 - 24;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-02-10 00:00:00.000;Calle
Ministerio de Seguridad;539;Febrero;06:10;Nocturno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Sin determinar;2018-02-10 00:00:00.000;Calle
Ministerio de Seguridad;441;Febrero;11:20;Diurno;Varón;30;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-10 00:00:00.000;Calle
Ministerio de Seguridad;274;Febrero;00:00;Nocturno;Mujer;51;45 - 54;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-10 00:00:00.000;Calle
Ministerio de Seguridad;560;Febrero;17:55;Diurno;Varón;20;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-11 00:00:00.000;Calle
Ministerio de Seguridad;252;Febrero;02:50;Nocturno;Mujer;22;15 - 24;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;252;Febrero;02:50;Nocturno;Varón;3;0 - 4;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;357;Febrero;02:30;Nocturno;Varón;26;25 - 34;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-02-13 00:00:00.000;Calle
Ministerio de Seguridad;833;Febrero;07:20;Diurno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;560;Febrero;20:00;Nocturno;Varón;67;65 - 74;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Calle
Ministerio de Seguridad;539;Febrero;00:50;Nocturno;Varón;26;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Calle
Ministerio de Seguridad;260;Febrero;01:30;Nocturno;Varón;-1;Sin determinar;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Calle
Ministerio de Seguridad;490;Febrero;22:10;Nocturno;Varón;43;35 - 44;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Calle
Ministerio de Seguridad;441;Febrero;16:35;Diurno;Varón;36;35 - 44;Conductor;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-02-13 00:00:00.000;Calle
Ministerio de Seguridad;410;Febrero;05:40;Nocturno;Varón;39;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-15 00:00:00.000;Calle
Ministerio de Seguridad;410;Febrero;05:40;Nocturno;Varón;46;45 - 54;Conductor;Camión;Camión;Colisión vehículo / vehículo;2018-02-15 00:00:00.000;Calle
Ministerio de Seguridad;441;Febrero;21:44;Nocturno;Varón;50;45 - 54;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-15 00:00:00.000;Calle
Ministerio de Seguridad;252;Febrero;09:00;Diurno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-16 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;756;Febrero;00:00;Nocturno;Varón;23;15 - 24;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-02-16 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;070;Febrero;08:25;Diurno;Varón;18;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-17 00:00:00.000;Calle
Ministerio de Seguridad;462;Febrero;11:10;Diurno;Varón;28;25 - 34;Acompañante;Camioneta;Camioneta;Vuelco / despiste;2018-02-18 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;126;Febrero;06:30;Nocturno;Varón;30;25 - 34;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-02-18 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;560;Febrero;18:45;Diurno;Varón;17;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-02-18 00:00:00.000;Calle
Ministerio de Seguridad;427;Febrero;12:00;Diurno;Varón;72;65 - 74;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-02-18 00:00:00.000;Calle
Ministerio de Seguridad;427;Febrero;22:35;Nocturno;Varón;27;25 - 34;Conductor;Motocicleta;Motocicleta;Sin determinar;2018-02-18 00:00:00.000;Calle
Ministerio de Seguridad;434;Febrero;01:20;Nocturno;Varón;15;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-18 00:00:00.000;Calle
Ministerio de Seguridad;260;Febrero;21:05;Nocturno;Mujer;4;0 - 4;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-19 00:00:00.000;Calle
Ministerio de Seguridad;252;Febrero;13:20;Diurno;Varón;29;25 - 34;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-02-20 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;707;Febrero;13:45;Diurno;Varón;21;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-20 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;343;Febrero;18:20;Diurno;Varón;57;55 - 64;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-02-21 00:00:00.000;Calle
Ministerio de Seguridad;441;Febrero;17:50;Diurno;Varón;16;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-21 00:00:00.000;Calle
Ministerio de Seguridad;568;Febrero;09:00;Diurno;Mujer;24;15 - 24;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-22 00:00:00.000;Calle
Ministerio de Seguridad;539;Febrero;13:40;Diurno;Varón;72;65 - 74;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-22 00:00:00.000;Calle
Ministerio de Seguridad;175;Febrero;22:37;Nocturno;Varón;18;15 - 24;Acompañante;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-23 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;175;Febrero;22:37;Nocturno;Varón;18;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-23 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;210;Febrero;03:20;Nocturno;Varón;25;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-02-24 00:00:00.000;Calle
Ministerio de Seguridad;126;Febrero;04:00;Nocturno;Varón;16;15 - 24;Sin determinar;Sin determinar;Sin determinar;Colisión vehículo / objeto;2018-02-24 00:00:00.000;Calle
Ministerio de Seguridad;778;Febrero;08:40;Diurno;Varón;21;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-24 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;648;Febrero;14:00;Diurno;Varón;43;35 - 44;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-24 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;805;Febrero;00:00;Nocturno;Varón;60;55 - 64;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-02-24 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;805;Febrero;00:00;Nocturno;Varón;20;15 - 24;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-24 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;840;Febrero;19:20;Nocturno;Varón;65;65 - 74;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-02-24 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;560;Febrero;08:30;Diurno;Varón;25;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-24 00:00:00.000;Calle
Ministerio de Seguridad;560;Febrero;08:30;Diurno;Varón;74;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-24 00:00:00.000;Calle
Ministerio de Seguridad;427;Febrero;23:15;Nocturno;Varón;35;35 - 44;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-02-24 00:00:00.000;Calle
Ministerio de Seguridad;505;Febrero;22:30;Nocturno;Varón;36;35 - 44;Conductor;Camioneta;Camioneta;Vuelco / despiste;2018-02-25 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;833;Febrero;11:11;Diurno;Varón;86;75 y más;Conductor;Bicicleta;Bicicleta;Vuelco / despiste;2018-02-25 00:00:00.000;Calle
Ministerio de Seguridad;408;Febrero;11:00;Diurno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-25 00:00:00.000;Calle
Ministerio de Seguridad;427;Febrero;07:30;Diurno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-02-25 00:00:00.000;Calle
Ministerio de Seguridad;427;Febrero;06:00;Nocturno;Varón;25;25 - 34;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-02-25 00:00:00.000;Calle
Ministerio de Seguridad;505;Febrero;08:06;Diurno;Varón;60;55 - 64;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-02-26 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;441;Febrero;18:40;Diurno;Varón;36;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-26 00:00:00.000;Calle
Ministerio de Seguridad;441;Febrero;08:15;Diurno;Varón;23;15 - 24;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-26 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;049;Febrero;15:00;Diurno;Varón;70;65 - 74;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-02-27 00:00:00.000;Calle
Ministerio de Seguridad;091;Febrero;20:00;Nocturno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-27 00:00:00.000;Calle
Ministerio de Seguridad;483;Febrero;01:45;Nocturno;Varón;43;35 - 44;Conductor;Camión;Camión;Colisión vehículo / vehículo;2018-02-28 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;595;Febrero;06:00;Nocturno;Mujer;48;45 - 54;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-28 00:00:00.000;Calle
Ministerio de Seguridad;805;Febrero;00:00;Nocturno;Varón;-1;Sin determinar;Conductor;Motocicleta;Motocicleta;Colisión vehículo / objeto;2018-02-28 00:00:00.000;Calle
Ministerio de Seguridad;805;Febrero;14:36;Diurno;Varón;29;25 - 34;Sin determinar;Sin determinar;Sin determinar;Sin determinar;2018-02-28 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;539;Febrero;12:00;Diurno;Varón;36;35 - 44;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-28 00:00:00.000;Calle
Ministerio de Seguridad;707;Febrero;07:00;Nocturno;Mujer;31;25 - 34;Acompañante;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-02-02 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;707;Febrero;07:00;Nocturno;Mujer;35;35 - 44;Acompañante;Camioneta;Camioneta;Colisión vehículo / vehículo;2018-02-02 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;658;Febrero;14:40;Diurno;Mujer;47;45 - 54;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-02 00:00:00.000;Calle
Ministerio de Seguridad;224;Febrero;07:09;Diurno;Varón;17;15 - 24;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-02-03 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;357;Febrero;08:10;Diurno;Varón;72;65 - 74;Conductor;Bicicleta;Bicicleta;Colisión vehículo / vehículo;2018-02-03 00:00:00.000;Calle
Ministerio de Seguridad;497;Febrero;00:15;Nocturno;Varón;36;35 - 44;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;357;Febrero;08:20;Diurno;Varón;36;35 - 44;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Calle
Ministerio de Seguridad;056;Febrero;21:30;Nocturno;Mujer;60;55 - 64;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-04 00:00:00.000;Calle
Ministerio de Seguridad;056;Febrero;14:45;Diurno;Varón;21;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-05 00:00:00.000;Calle
Ministerio de Seguridad;728;Febrero;23:37;Nocturno;Varón;15;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-07 00:00:00.000;Calle
Ministerio de Seguridad;497;Febrero;22:10;Nocturno;Mujer;23;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-02-09 00:00:00.000;Calle
Ministerio de Seguridad;413;Febrero;06:43;Nocturno;Varón;24;15 - 24;Conductor;Motocicleta;Motocicleta;Sin determinar;2018-02-12 00:00:00.000;Calle
Ministerio de Seguridad;602;Febrero;13:20;Diurno;Mujer;29;25 - 34;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-02-12 00:00:00.000;Ruta Nacional
