BASE ORIGEN;PARTIDO;FECHA DEL HECHO;MES;HORA;DÍA DE LA SEMANA;DIA DE LA SEMANA AGRUPADO;Diurno/Nocturno;TIPO DE LUGAR;MODO DE PRODUCCIÓN DEL HECHO;SEXO DE LA VÍCTIMA;EDAD;EDAD AGRUPADA;TIPO DE VÍCTIMA;VEHÍCULO DE LA VÍCTIMA
Ministerio de Seguridad;287;15/12/2020;Diciembre;11:45;Martes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;20;15 - 24  ;Acompañante;Automóvil
Ministerio de Seguridad;287;15/12/2020;Diciembre;11:45;Martes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;31;25 - 34  ;Acompañante;Automóvil
Ministerio de Seguridad;126;22/11/2020;Noviembre;05:30;Domingo;Fin de semana;Nocturno;Ruta Provincial;Sin determinar;Masculino;25;25 - 34  ;Conductor;Automóvil
Ministerio de Seguridad;287;15/12/2020;Diciembre;11:45;Martes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;43;35 - 44  ;Conductor;Automóvil
Ministerio de Seguridad;791;24/12/2020;Diciembre;04:30;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Femenino;23;15 - 24  ;Acompañante;Motocicleta
Ministerio de Seguridad;791;24/12/2020;Diciembre;04:30;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Femenino;23;15 - 24  ;Acompañante;Motocicleta
Ministerio de Seguridad;735;27/11/2020;Noviembre;12:10;Viernes;Lunes a Viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;42;35 - 44  ;Conductor;Automóvil
Ministerio de Seguridad;063;27/11/2020;Noviembre;03:00;Viernes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Conductor;Sin especificar vehículo
Ministerio de Seguridad;336;28/11/2020;Noviembre;10:45;Sábado;Fin de semana;Diurno;Ruta Provincial;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Seguridad;665;25/10/2020;Octubre;08:00;Domingo;Fin de semana;Diurno;Ruta Provincial;Vuelco / despiste;Masculino;30;25 - 34  ;Conductor;Automóvil
Ministerio de Seguridad;665;25/10/2020;Octubre;08:00;Domingo;Fin de semana;Diurno;Ruta Provincial;Vuelco / despiste;Masculino;61;55 - 64  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;049;11/12/2020;Diciembre;06:00;Viernes;Lunes a Viernes;Nocturno;Ruta Provincial;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Seguridad;623;14/1/2020;Enero;05:00;Martes;Lunes a Viernes;Nocturno;Autopista / Autovía;Colisión Vehículo / vehículo;Femenino;Sin determinar;Sin determinar;Acompañante;Automóvil
Ministerio de Seguridad;623;14/1/2020;Enero;05:00;Martes;Lunes a Viernes;Nocturno;Autopista / Autovía;Colisión Vehículo / vehículo;Masculino;54;45 - 54  ;Conductor;Automóvil
Ministerio de Seguridad;714;21/11/2020;Noviembre;07:25;Sábado;Fin de semana;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;11;5 - 14;Acompañante;Motocicleta
Ministerio de Seguridad;357;22/12/2020;Diciembre;12:10;Martes;Lunes a Viernes;Diurno;Ruta Provincial;Sin determinar;Sin determinar;43;35 - 44  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Seguridad;714;21/11/2020;Noviembre;07:25;Sábado;Fin de semana;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;11;5 - 14;Acompañante;Motocicleta
Ministerio de Seguridad;392;2/2/2020;Febrero;13:00;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / persona;Femenino;8;5 - 14;Peatón;No corresponde (peatón)
Ministerio de Seguridad;134;29/12/2020;Diciembre;14:30;Martes;Lunes a Viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Femenino;Sin determinar;Sin determinar;Acompañante;Automóvil
Ministerio de Seguridad;392;2/2/2020;Febrero;13:00;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / persona;Masculino;55;55 - 64  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;392;25/12/2020;Diciembre;04:00;Viernes;Lunes a Viernes;Nocturno;Calle;Sin determinar;Masculino;20;15 - 24  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;147;19/12/2020;Diciembre;08:50;Sábado;Fin de semana;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Femenino;99;75 y más;Conductor;Camioneta
Ministerio de Seguridad;560;25/12/2020;Diciembre;01:20;Viernes;Lunes a Viernes;Nocturno;Autopista / Autovía;Colisión Vehículo / persona;Masculino;Sin determinar;Sin determinar;Peatón;No corresponde (peatón)
Ministerio de Seguridad;763;29/2/2020;Febrero;19:15;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;76;75 y más;Conductor;Bicicleta
Ministerio de Seguridad;763;1/6/2020;Junio;05:20;Lunes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;25;25 - 34  ;Acompañante;Motocicleta
Ministerio de Seguridad;770;25/6/2020;Junio;10:50;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;29;25 - 34  ;Acompañante;Camioneta
Ministerio de Seguridad;665;26/7/2020;Julio;08:00;Domingo;Fin de semana;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Conductor;Automóvil
Ministerio de Seguridad;70;6/10/2020;Octubre;03:35;Martes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;39;35 - 44  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;763;17/10/2020;Octubre;21:00;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;21;15 - 24  ;Conductor;Sin especificar vehículo
Ministerio de Seguridad;392;25/12/2020;Diciembre;04:00;Viernes;Lunes a Viernes;Nocturno;Calle;Sin determinar;Sin determinar;20;15 - 24  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;763;4/11/2020;Noviembre;22:30;Miércoles;Lunes a Viernes;Nocturno;Calle;Sin determinar;Masculino;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Seguridad;763;9/11/2020;Noviembre;10:00;Lunes;Lunes a Viernes;Diurno;Calle;Sin determinar;Masculino;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Seguridad;770;10/11/2020;Noviembre;05:00;Martes;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / objeto;Femenino;Sin determinar;Sin determinar;Acompañante;Automóvil
Ministerio de Seguridad;70;11/11/2020;Noviembre;15:45;Miércoles;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;140;7/12/2020;Diciembre;22:20;Lunes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Conductor;Automóvil
Ministerio de Seguridad;70;8/12/2020;Diciembre;00:00;Martes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;42;35 - 44  ;Conductor;Automóvil
Ministerio de Seguridad;763;28/12/2020;Diciembre;22:30;Lunes;Lunes a Viernes;Nocturno;Calle;Sin determinar;Masculino;30;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;525;3/8/2020;Agosto;08:00;Lunes;Lunes a Viernes;Diurno;Ruta Nacional;Sin determinar;Masculino;16;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;77;9/2/2020;Febrero;00:00;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / persona;Femenino;Sin determinar;Sin determinar;Pasajero;Colectivo
Ministerio de Seguridad;714;11/2/2020;Febrero;02:00;Martes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / persona;Masculino;Sin determinar;Sin determinar;Peatón;No corresponde (peatón)
Ministerio de Seguridad;623;15/2/2020;Febrero;05:30;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / persona;Masculino;24;15 - 24  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;175;17/2/2020;Febrero;07:25;Lunes;Lunes a Viernes;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;20;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;623;15/3/2020;Marzo;05:50;Domingo;Fin de semana;Nocturno;Calle;Vuelco / despiste;Masculino;21;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;77;12/4/2020;Abril;13:00;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Femenino;Sin determinar;Sin determinar;Conductor;Motocicleta
Ministerio de Seguridad;623;17/4/2020;Abril;11:00;Viernes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;Sin determinar;Sin determinar;Peatón;No corresponde (peatón)
Ministerio de Seguridad;623;26/5/2020;Mayo;18:00;Martes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;21;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;525;22/9/2020;Septiembre;18:00;Martes;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;20;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;525;26/9/2020;Septiembre;22:50;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;23;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;175;4/11/2020;Noviembre;19:15;Miércoles;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Femenino;Sin determinar;Sin determinar;Conductor;Motocicleta
Ministerio de Seguridad;525;3/8/2020;Agosto;08:00;Lunes;Lunes a Viernes;Diurno;Ruta Nacional;Sin determinar;Masculino;16;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;728;3/1/2020;Enero;19:50;Viernes;Lunes a Viernes;Nocturno;Calle;Vuelco / despiste;Masculino;49;45 - 54  ;Conductor;Motocicleta
Ministerio de Seguridad;77;18/12/2020;Diciembre;17:20;Viernes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;41;35 - 44  ;Conductor;Automóvil
Ministerio de Seguridad;623;27/12/2020;Diciembre;22:00;Domingo;Fin de semana;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;27;25 - 34  ;Conductor;Automóvil
Ministerio de Seguridad;385;6/2/2020;Febrero;21:40;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;57;55 - 64  ;Conductor;Automóvil
Ministerio de Seguridad;210;14/2/2020;Febrero;05:00;Viernes;Lunes a Viernes;Nocturno;Calle;Sin determinar;Masculino;20;15 - 24  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;413;28/2/2020;Febrero;19:00;Viernes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;Sin determinar;Sin determinar;Peatón;No corresponde (peatón)
Ministerio de Seguridad;413;4/3/2020;Marzo;20:30;Miércoles;Lunes a Viernes;Nocturno;Calle;Sin determinar;Masculino;26;25 - 34  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;413;7/7/2020;Julio;15:00;Martes;Lunes a Viernes;Diurno;Calle;Vuelco / despiste;Masculino;36;35 - 44  ;Conductor;Motocicleta
Ministerio de Seguridad;532;8/8/2020;Agosto;02:00;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;40;35 - 44  ;Conductor;Motocicleta
Ministerio de Seguridad;497;7/9/2020;Septiembre;09:00;Lunes;Lunes a Viernes;Diurno;Ruta Provincial;Vuelco / despiste;Masculino;32;25 - 34  ;Conductor;Automóvil
Ministerio de Seguridad;609;27/9/2020;Septiembre;05:20;Domingo;Fin de semana;Nocturno;Calle;Vuelco / despiste;Masculino;24;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;413;23/10/2020;Octubre;18:00;Viernes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;37;35 - 44  ;Acompañante;Automóvil
Ministerio de Seguridad;294;3/11/2020;Noviembre;05:30;Martes;Lunes a Viernes;Nocturno;Calle;Sin determinar;Masculino;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Camión
Ministerio de Seguridad;469;23/11/2020;Noviembre;02:00;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;18;15 - 24  ;Conductor;Bicicleta
Ministerio de Seguridad;469;27/11/2020;Noviembre;17:00;Viernes;Lunes a Viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;10;5 - 14;Conductor;Bicicleta
Ministerio de Seguridad;462;7/12/2020;Diciembre;23:15;Lunes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;30;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;294;8/12/2020;Diciembre;23:15;Martes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;18;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;413;10/12/2020;Diciembre;19:00;Jueves;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;36;35 - 44  ;Conductor;Motocicleta
Ministerio de Seguridad;413;13/12/2020;Diciembre;13:35;Domingo;Fin de semana;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;413;28/12/2020;Diciembre;09:47;Lunes;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;33;25 - 34  ;Conductor;Camión
Ministerio de Seguridad;728;3/1/2020;Enero;19:50;Viernes;Lunes a Viernes;Nocturno;Calle;Vuelco / despiste;Masculino;56;55 - 64  ;Conductor;Motocicleta
Ministerio de Seguridad;728;3/1/2020;Enero;19:40;Viernes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / objeto;Masculino;20;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;826;13/2/2020;Febrero;04:30;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;29;25 - 34  ;Acompañante;Sin especificar vehículo
Ministerio de Seguridad;826;22/2/2020;Febrero;15:10;Sábado;Fin de semana;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;60;55 - 64  ;Conductor;Camión
Ministerio de Seguridad;392;15/6/2020;Junio;20:40;Lunes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;8;5 - 14;Pasajero;Colectivo
Ministerio de Seguridad;784;1/2/2020;Febrero;01:00;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;25;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;784;1/2/2020;Febrero;01:00;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;679;24/12/2020;Diciembre;20:00;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;72;65 - 74  ;Conductor;Automóvil
Ministerio de Seguridad;126;2/2/2020;Febrero;13:00;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;21;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;252;23/2/2020;Febrero;16:00;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / objeto;Masculino;52;45 - 54  ;Conductor;Sin especificar vehículo
Ministerio de Seguridad;882;26/2/2020;Febrero;17:40;Miércoles;Lunes a Viernes;Nocturno;Ruta Nacional;Sin determinar;Femenino;23;15 - 24  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Seguridad;728;6/4/2020;Abril;17:30;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Conductor;Camioneta
Ministerio de Seguridad;728;6/4/2020;Abril;17:30;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Sin determinar;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;497;9/4/2020;Abril;18:30;Jueves;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Sin determinar;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;497;9/4/2020;Abril;18:30;Jueves;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Femenino;Sin determinar;Sin determinar;Conductor;Automóvil
Ministerio de Seguridad;497;8/8/2020;Agosto;14:00;Sábado;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;21;15 - 24  ;Acompañante;Camioneta
Ministerio de Seguridad;648;5/9/2020;Septiembre;08:15;Sábado;Fin de semana;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;32;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;648;16/9/2020;Septiembre;00:00;Miércoles;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;44;35 - 44  ;Conductor;Camión
Ministerio de Seguridad;882;1/11/2020;Noviembre;16:05;Domingo;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;22;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;126;22/11/2020;Noviembre;17:30;Domingo;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;56;55 - 64  ;Conductor;Automóvil
Ministerio de Seguridad;126;17/12/2020;Diciembre;04:45;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;53;45 - 54  ;Conductor;Automóvil
Ministerio de Seguridad;882;19/12/2020;Diciembre;18:20;Sábado;Fin de semana;Diurno;Calle;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Seguridad;126;25/12/2020;Diciembre;14:50;Viernes;Lunes a Viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;42;35 - 44  ;Conductor;Motocicleta
Ministerio de Seguridad;784;1/6/2020;Junio;23:00;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;53;45 - 54  ;Acompañante;Camioneta
Ministerio de Seguridad;784;1/6/2020;Junio;23:00;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;53;45 - 54  ;Acompañante;Camioneta
Ministerio de Seguridad;21;12/1/2020;Enero;02:30;Domingo;Fin de semana;Nocturno;Calle;Sin determinar;Masculino;55;55 - 64  ;Ocupante de vehículo (sin especificar);Sin especificar vehículo
Ministerio de Seguridad;532;11/1/2020;Enero;02:00;Sábado;Fin de semana;Nocturno;Ruta Nacional;Colisión Vehículo / persona;Masculino;Sin determinar;Sin determinar;Peatón;No corresponde (peatón)
Ministerio de Seguridad;497;17/1/2020;Enero;07:00;Viernes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Seguridad;224;7/11/2020;Noviembre;03:03;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Femenino;26;25 - 34  ;Acompañante;Motocicleta
Ministerio de Seguridad;497;13/2/2020;Febrero;04:05;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;48;45 - 54  ;Conductor;Motocicleta
Ministerio de Seguridad;497;17/2/2020;Febrero;08:00;Lunes;Lunes a Viernes;Nocturno;Calle;Vuelco / despiste;Masculino;35;35 - 44  ;Conductor;Motocicleta
Ministerio de Seguridad;728;22/2/2020;Febrero;15:30;Sábado;Fin de semana;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;58;55 - 64  ;Conductor;Automóvil
Ministerio de Seguridad;532;10/3/2020;Marzo;00:00;Martes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;80;75 y más;Peatón;No corresponde (peatón)
Ministerio de Seguridad;224;7/11/2020;Noviembre;03:03;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Femenino;26;25 - 34  ;Acompañante;Motocicleta
Ministerio de Seguridad;532;8/11/2020;Noviembre;19:30;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;34;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;532;8/11/2020;Noviembre;19:30;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;34;25 - 34  ;Conductor;Motocicleta
Ministerio de Seguridad;224;6/12/2020;Diciembre;08:41;Domingo;Fin de semana;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;19;15 - 24  ;Acompañante;Motocicleta
Ministerio de Seguridad;224;15/5/2020;Mayo;06:10;Viernes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Sin determinar;Sin determinar;Sin determinar;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Seguridad;224;6/12/2020;Diciembre;08:41;Domingo;Fin de semana;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;19;15 - 24  ;Conductor;Motocicleta
Ministerio de Seguridad;329;6/12/2020;Diciembre;17:09;Domingo;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;63;55 - 64  ;Acompañante;Automóvil
Ministerio de Seguridad;532;4/7/2020;Julio;07:10;Sábado;Fin de semana;Diurno;Calle;Vuelco / despiste;Femenino;16;15 - 24  ;Acompañante;Automóvil
Ministerio de Seguridad;525;12/7/2020;Julio;13:52;Domingo;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / objeto;Femenino;16;15 - 24  ;Acompañante;Automóvil
Ministerio de Seguridad;525;18/7/2020;Julio;04:54;Sábado;Fin de semana;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;69;65 - 74  ;Conductor;Bicicleta
Ministerio de Seguridad;497;20/7/2020;Julio;20:00;Lunes;Lunes a Viernes;Nocturno;Autopista / Autovía;Colisión Vehículo / persona;Femenino;20;15 - 24  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;609;19/8/2020;Agosto;20:10;Miércoles;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;57;55 - 64  ;Conductor;Motocicleta
Ministerio de Seguridad;329;6/12/2020;Diciembre;17:09;Domingo;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;63;55 - 64  ;Acompañante;Automóvil
Ministerio de Seguridad;497;18/12/2020;Diciembre;09:45;Viernes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Conductor;Automóvil
Ministerio de Seguridad;644;10/9/2020;Septiembre;12:08;Jueves;Lunes a Viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Conductor;Automóvil
Ministerio de Seguridad;210;10/10/2020;Octubre;03:03;Sábado;Fin de semana;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;38;35 - 44  ;Conductor;Automóvil
Ministerio de Seguridad;497;18/12/2020;Diciembre;09:45;Viernes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Conductor;Automóvil
Ministerio de Seguridad;21;28/12/2020;Diciembre;12:56;Lunes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;79;75 y más;Conductor;Automóvil
Ministerio de Seguridad;21;28/12/2020;Diciembre;12:56;Lunes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;79;75 y más;Conductor;Automóvil
Ministerio de Seguridad;21;28/12/2020;Diciembre;12:56;Lunes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;79;75 y más;Conductor;Automóvil
Ministerio de Seguridad;21;28/12/2020;Diciembre;12:56;Lunes;Lunes a Viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;79;75 y más;Conductor;Automóvil
Ministerio de Seguridad;588;12/3/2020;Marzo;03:00;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;21;15 - 24  ;Conductor;Camioneta
Ministerio de Seguridad;588;12/3/2020;Marzo;03:00;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;39;35 - 44  ;Conductor;Motocicleta
Ministerio de Seguridad;134;12/3/2020;Marzo;03:30;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Conductor;Automóvil
Ministerio de Seguridad;134;12/3/2020;Marzo;03:30;Jueves;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Femenino;12;5 - 14;Acompañante;Camioneta
Ministerio de Seguridad;210;17/12/2020;Diciembre;09:20;Jueves;Lunes a Viernes;Diurno;Calle;Sin determinar;Masculino;26;25 - 34  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Seguridad;497;19/12/2020;Diciembre;07:30;Sábado;Fin de semana;Diurno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;42;35 - 44  ;Conductor;Automóvil
Ministerio de Seguridad;648;22/7/2020;Julio;11:00;Miércoles;Lunes a Viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;33;25 - 34  ;Conductor;Camioneta
Ministerio de Seguridad;648;22/7/2020;Julio;11:00;Miércoles;Lunes a Viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;33;25 - 34  ;Acompañante;Camión
Ministerio de Seguridad;778;22/11/2020;Noviembre;22:00;Domingo;Fin de semana;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;23;15 - 24  ;Conductor;Automóvil
Ministerio de Seguridad;778;22/11/2020;Noviembre;22:00;Domingo;Fin de semana;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;23;15 - 24  ;Conductor;Automóvil
Ministerio de Seguridad;112;3/2/2020;Febrero;20:00;Lunes;Lunes a Viernes;Nocturno;Sin determinar;Colisión Vehículo / vehículo;Femenino;33;25 - 34  ;Acompañante;Motocicleta
Ministerio de Seguridad;778;22/11/2020;Noviembre;22:00;Domingo;Fin de semana;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;23;15 - 24  ;Conductor;Automóvil
Ministerio de Seguridad;609;16/5/2020;Mayo;07:00;Sábado;Fin de semana;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;Sin determinar;Sin determinar;Conductor;Automóvil
Ministerio de Seguridad;609;4/6/2020;Junio;23:40;Jueves;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / vehículo;Femenino;60;55 - 64  ;Acompañante;Automóvil
