Origen de la base;Código de partido (Según INDEC);Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad agrupada;Sexo;Clase de Víctima;Vehículo Víctima;Tipo de Lugar;Modo de Producción del Hecho;
Ministerio de Seguridad;784;03/03/2017;3;07:00;Nocturno;Sin determinar;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;06/03/2017;3;02:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;08/03/2017;3;22:30;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;12/03/2017;3;18:50;Diurno;25 - 34;Mujer;Acompañante;Camioneta;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;224;25/03/2017;3;00:50;Nocturno;0 - 4;Varón;Acompañante;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;574;04/04/2017;4;12:00;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;728;19/04/2017;4;22:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;27/05/2017;5;14:40;Diurno;Sin determinar;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;532;31/05/2017;5;12:00;Diurno;45 - 54;Varón;Acompañante;Otro;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;09/06/2017;6;23:30;Nocturno;55 - 64;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;10/06/2017;6;20:50;Nocturno;45 - 54;Mujer;Acompañante;Sin determinar;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;224;22/06/2017;6;13:35;Diurno;55 - 64;Varón;Conductor;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;784;02/07/2017;7;05:00;Nocturno;45 - 54;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;532;28/07/2017;7;14:30;Diurno;45 - 54;Varón;Conductor;Camión;Calle;Vuelco / despiste;
Ministerio de Seguridad;532;04/08/2017;8;16:00;Diurno;15 - 24;Mujer;Conductor;Bicicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;06/08/2017;8;01:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;13/08/2017;8;23:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;532;18/08/2017;8;06:10;Nocturno;Sin determinar;Varón;Peatón;Peatón;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;497;02/09/2017;9;08:00;Diurno;15 - 24;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;224;06/09/2017;9;17:00;Diurno;25 - 34;Mujer;Conductor;Bicicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;09/09/2017;9;05:40;Nocturno;65 - 74;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;09/09/2017;9;05:40;Nocturno;65 - 74;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;24/09/2017;9;04:20;Nocturno;35 - 44;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;29/09/2017;9;04:30;Nocturno;15 - 24;Varón;Acompañante;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;02/10/2017;10;08:18;Diurno;35 - 44;Varón;Conductor;Camioneta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;532;10/10/2017;10;17:24;Diurno;Sin determinar;Mujer;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;728;10/10/2017;10;20:01;Nocturno;65 - 74;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;14/10/2017;10;09:00;Diurno;15 - 24;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;14/10/2017;10;09:00;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;14/10/2017;10;09:00;Diurno;15 - 24;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;574;16/10/2017;10;09:00;Diurno;35 - 44;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;784;19/10/2017;10;23:06;Nocturno;65 - 74;Mujer;Conductor;Bicicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;532;27/10/2017;10;09:30;Diurno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;11/11/2017;11;16:00;Diurno;Sin determinar;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;224;12/11/2017;11;19:21;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;021;18/11/2017;11;03:49;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;21/11/2017;11;17:18;Diurno;65 - 74;Varón;Conductor;Automóvil;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;23/11/2017;11;04:50;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;224;25/11/2017;11;01:03;Nocturno;45 - 54;Varón;Conductor;Bicicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;30/11/2017;11;22:54;Nocturno;35 - 44;Varón;Conductor;Camión;Autopista Nacional;Vuelco / despiste;
Ministerio de Seguridad;497;08/12/2017;12;05:43;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;497;14/12/2017;12;15:50;Diurno;45 - 54;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;728;15/12/2017;12;08:00;Diurno;65 - 74;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;224;16/12/2017;12;13:02;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;574;22/12/2017;12;02:17;Nocturno;35 - 44;Varón;Conductor;Bicicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;13/02/2017;2;00:50;Nocturno;15 - 24;Mujer;Acompañante;Motocicleta;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;112;20/03/2017;3;01:30;Nocturno;35 - 44;Varón;Conductor;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;19/04/2017;4;08:40;Diurno;65 - 74;Varón;Conductor;Sin determinar;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;112;20/05/2017;5;00:05;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;588;24/05/2017;5;08:00;Diurno;35 - 44;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;147;24/06/2017;6;07:30;Diurno;35 - 44;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;147;24/06/2017;6;07:30;Diurno;45 - 54;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;406;04/07/2017;7;08:30;Diurno;55 - 64;Varón;Conductor;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;588;06/08/2017;8;03:00;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;23/09/2017;9;10:40;Diurno;35 - 44;Mujer;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;609;14/10/2017;10;08:10;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;12/11/2017;11;04:00;Nocturno;15 - 24;Varón;Acompañante;Automóvil;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;406;22/11/2017;11;18:30;Diurno;45 - 54;Varón;Conductor;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;406;22/11/2017;11;18:30;Diurno;15 - 24;Varón;Acompañante;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;24/11/2017;11;17:15;Diurno;65 - 74;Mujer;Acompañante;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;609;24/11/2017;11;17:15;Diurno;75 y más;Mujer;Acompañante;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;343;08/01/2017;1;20:35;Nocturno;35 - 44;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;778;06/01/2017;1;12:40;Diurno;55 - 64;Varón;Conductor;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;18/01/2017;1;22:40;Nocturno;45 - 54;Varón;Conductor;Camioneta;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;778;19/01/2017;1;20:40;Nocturno;35 - 44;Mujer;Pasajero;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;778;19/01/2017;1;20:40;Nocturno;Sin determinar;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;30/01/2017;1;01:45;Nocturno;15 - 24;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;134;30/01/2017;1;01:45;Nocturno;15 - 24;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;547;11/02/2017;2;22:00;Nocturno;0 - 4;Varón;Pasajero;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;12/03/2017;3;06:30;Nocturno;Sin determinar;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;778;11/03/2017;3;16:00;Diurno;45 - 54;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;24/03/2017;3;12:00;Diurno;55 - 64;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;648;24/03/2017;3;04:50;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;343;01/04/2017;4;15:00;Diurno;45 - 54;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;06/04/2017;4;06:30;Nocturno;35 - 44;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;343;09/04/2017;4;00:00;Nocturno;75 y más;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;343;09/04/2017;4;00:00;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;343;09/04/2017;4;00:00;Nocturno;55 - 64;Mujer;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;10/04/2017;4;14:20;Diurno;75 y más;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;778;14/04/2017;4;20:15;Nocturno;25 - 34;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;134;22/04/2017;4;00:40;Nocturno;15 - 24;Varón;Acompañante;Motocicleta;Autopista Provincial;Vuelco / despiste;
Ministerio de Seguridad;119;29/06/2017;6;21:30;Nocturno;45 - 54;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;31/07/2017;7;00:05;Nocturno;15 - 24;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;119;08/08/2017;8;07:20;Diurno;Sin determinar;Mujer;Sin determinar;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;08/08/2017;8;07:20;Diurno;Sin determinar;Varón;Sin determinar;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;648;11/08/2017;8;18:00;Diurno;25 - 34;Varón;Conductor;Colectivo;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;18/08/2017;8;14:10;Diurno;25 - 34;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;134;17/08/2017;8;06:30;Nocturno;Sin determinar;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;483;07/09/2017;9;23:30;Nocturno;35 - 44;Mujer;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;18/09/2017;9;13:30;Diurno;15 - 24;Varón;Sin determinar;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;18/09/2017;9;13:30;Diurno;15 - 24;Varón;Sin determinar;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;343;19/09/2017;9;06:15;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;483;25/09/2017;9;19:25;Nocturno;55 - 64;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;24/09/2017;9;11:30;Diurno;25 - 34;Varón;Sin determinar;Motocicleta;Autopista Provincial;Sin determinar;
Ministerio de Seguridad;343;01/10/2017;10;21:00;Nocturno;75 y más;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;04/10/2017;10;22:15;Nocturno;35 - 44;Varón;Sin determinar;Motocicleta;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;04/10/2017;10;22:15;Nocturno;35 - 44;Mujer;Sin determinar;Motocicleta;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;483;01/10/2017;10;18:45;Diurno;65 - 74;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;483;08/10/2017;10;06:25;Nocturno;55 - 64;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;134;12/10/2017;10;07:30;Diurno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;07/11/2017;11;09:00;Diurno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;18/11/2017;11;23:30;Nocturno;25 - 34;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;03/12/2017;12;11:40;Diurno;55 - 64;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;778;05/12/2017;12;02:20;Nocturno;25 - 34;Varón;Conductor;Camión;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;119;10/12/2017;12;03:40;Nocturno;15 - 24;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;483;16/12/2017;12;22:45;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;23/12/2017;12;20:50;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;30/12/2017;12;22:20;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;707;15/01/2017;1;09:00;Diurno;25 - 34;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;854;04/03/2017;3;04:00;Nocturno;15 - 24;Mujer;Acompañante;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;707;31/03/2017;3;16:00;Diurno;45 - 54;Varón;Conductor;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;707;08/04/2017;4;21:30;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;707;23/04/2017;4;06:15;Nocturno;25 - 34;Mujer;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;707;24/04/2017;4;00:45;Nocturno;25 - 34;Varón;Sin determinar;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;105;13/05/2017;5;22:30;Nocturno;45 - 54;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;854;17/06/2017;6;04:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;105;24/06/2017;6;20:40;Nocturno;15 - 24;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;105;07/07/2017;7;08:40;Diurno;25 - 34;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;707;29/07/2017;7;08:00;Diurno;25 - 34;Mujer;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;693;09/08/2017;8;20:30;Nocturno;0 - 4;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;707;06/10/2017;10;20:20;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;854;04/11/2017;11;23:10;Nocturno;15 - 24;Varón;Conductor;Automóvil;Sin determinar;Vuelco / despiste;
Ministerio de Seguridad;217;12/03/2017;3;03:30;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;301;16/05/2017;5;08:00;Diurno;35 - 44;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;301;16/05/2017;5;08:00;Diurno;Sin determinar;Varón;Ocupante de vehículo sin especificar;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;655;16/07/2017;7;19:45;Nocturno;45 - 54;Mujer;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;505;21/07/2017;7;21:30;Nocturno;25 - 34;Mujer;Sin determinar;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;505;21/07/2017;7;21:30;Nocturno;55 - 64;Mujer;Sin determinar;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;505;15/09/2017;9;20:30;Nocturno;25 - 34;Varón;Acompañante;Camioneta;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;505;15/09/2017;9;22:10;Nocturno;55 - 64;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;217;24/09/2017;9;21:30;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;505;23/12/2017;12;04:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;15/01/2017;1;02:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Sin determinar;Colisión vehículo / objeto;
Ministerio de Seguridad;595;21/01/2017;1;04:30;Nocturno;75 y más;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;595;08/02/2017;2;01:00;Nocturno;35 - 44;Varón;Conductor;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;08/02/2017;2;01:00;Nocturno;35 - 44;Varón;Conductor;Automóvil;Sin determinar;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;14/02/2017;2;08:00;Diurno;65 - 74;Varón;Conductor;Camioneta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;11/03/2017;3;14:00;Diurno;65 - 74;Varón;Conductor;Bicicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;11/03/2017;3;00:20;Nocturno;15 - 24;Varón;Acompañante;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;15/04/2017;4;02:35;Nocturno;Sin determinar;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;16/04/2017;4;20:00;Nocturno;Sin determinar;Varón;Acompañante;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;16/04/2017;4;20:00;Nocturno;0 - 4;Mujer;Acompañante;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;16/04/2017;4;20:00;Nocturno;25 - 34;Mujer;Acompañante;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;16/04/2017;4;18:30;Diurno;45 - 54;Mujer;Acompañante;Sin determinar;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;07/05/2017;5;21:30;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;21/05/2017;5;07:30;Diurno;35 - 44;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;21/05/2017;5;07:30;Diurno;65 - 74;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;049;21/05/2017;5;07:30;Diurno;65 - 74;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;455;14/06/2017;6;22:00;Nocturno;45 - 54;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;26/06/2017;6;08:00;Diurno;25 - 34;Varón;Conductor;Camión;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;595;26/06/2017;6;19:20;Nocturno;55 - 64;Mujer;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;16/07/2017;7;23:10;Nocturno;35 - 44;Mujer;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;595;16/07/2017;7;23:10;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;455;07/08/2017;8;07:10;Diurno;25 - 34;Varón;Conductor;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;06/09/2017;9;20:30;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;455;02/10/2017;10;23:00;Nocturno;35 - 44;Varón;Conductor;Camión;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;06/10/2017;10;04:30;Nocturno;25 - 34;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;798;08/10/2017;10;21:30;Nocturno;65 - 74;Mujer;Acompañante;Camioneta;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;798;08/10/2017;10;21:30;Nocturno;65 - 74;Mujer;Acompañante;Camioneta;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;049;30/11/2017;11;23:00;Nocturno;65 - 74;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;595;03/12/2017;12;13:30;Diurno;65 - 74;Varón;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;595;03/12/2017;12;13:30;Diurno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;399;16/01/2017;1;13:41;Diurno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;399;24/01/2017;1;02:25;Nocturno;15 - 24;Varón;Sin determinar;Sin determinar;Sin determinar;Sin determinar;
Ministerio de Seguridad;399;01/04/2017;4;16:17;Diurno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;399;01/04/2017;4;16:17;Diurno;65 - 74;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;007;07/07/2017;7;03:30;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Sin determinar;
Ministerio de Seguridad;007;09/07/2017;7;07:22;Diurno;15 - 24;Varón;Conductor;Automóvil;Sin determinar;Vuelco / despiste;
Ministerio de Seguridad;007;09/07/2017;7;07:22;Diurno;15 - 24;Varón;Acompañante;Automóvil;Sin determinar;Vuelco / despiste;
Ministerio de Seguridad;399;10/07/2017;7;11:11;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;399;21/07/2017;7;22:40;Nocturno;35 - 44;Mujer;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;847;06/08/2017;8;__:__;Sin determinar;45 - 54;Mujer;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;420;02/01/2017;1;13:30;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;336;09/01/2017;1;19:30;Nocturno;45 - 54;Mujer;Acompañante;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;336;24/01/2017;1;18:30;Diurno;35 - 44;Mujer;Acompañante;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;336;24/01/2017;1;18:30;Diurno;5 - 14;Mujer;Acompañante;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;336;24/01/2017;1;18:30;Diurno;35 - 44;Varón;Conductor;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;336;24/01/2017;1;18:30;Diurno;45 - 54;Varón;Acompañante;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;336;24/01/2017;1;18:30;Diurno;0 - 4;Varón;Acompañante;Camioneta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;420;28/01/2017;1;12:30;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;336;12/02/2017;2;05:10;Nocturno;15 - 24;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;868;17/02/2017;2;17:00;Diurno;15 - 24;Varón;Conductor;Otro;Calle;Colisión vehículo / vehículo;
